freq,unit,age,sex,severity,nace_r2,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,NR,TOTAL,F,D_GE4,A_C-N,AT	7530 	6844 	7293 	7201 	7206 	6833 	6947 	6929 	7207 	6959 	7195 	7328 	5459 b
A,NR,TOTAL,F,D_GE4,A_C-N,BE	9387 	8164 	9378 	9125 	8304 	8062 	7800 	7893 	8327 	8447 	8667 	8355 	6664 b
A,NR,TOTAL,F,D_GE4,A_C-N,BG	506 	367 	369 	343 	344 	320 	368 	354 	380 	393 	391 	409 	334 b
A,NR,TOTAL,F,D_GE4,A_C-N,CH	8532 	8763 	8750 	10562 	9545 	10808 	10619 	10818 	11081 	10140 	11669 	12064 	10650 b
A,NR,TOTAL,F,D_GE4,A_C-N,CY	384 	374 	395 	367 	357 	351 	360 	336 	411 	453 	438 	513 	256 b
A,NR,TOTAL,F,D_GE4,A_C-N,CZ	18839 	12397 	12223 	8220 	8104 	7875 	8352 	8698 	9278 	9288 	9648 	9023 	6879 b
A,NR,TOTAL,F,D_GE4,A_C-N,DE	107033 	101594 	112056 	109890 	108698 	116859 	113133 	115357 	114412 	109730 	107156 	111056 	92676 b
A,NR,TOTAL,F,D_GE4,A_C-N,DK	8329 	6586 	6350 	5605 	5597 	5266 	5431 	4689 	4981 	4736 	5033 	5223 	5725 b
A,NR,TOTAL,F,D_GE4,A_C-N,EE	1613 	1506 	1732 	1820 	1785 	1743 	1614 	1346 	1228 	1100 	966 	875 	987 b
A,NR,TOTAL,F,D_GE4,A_C-N,EL	3381 	3078 	2426 	2328 	1822 	1676 	702 b	798 	857 	906 	1079 	1076 	728 b
A,NR,TOTAL,F,D_GE4,A_C-N,ES	112001 	89640 	83528 	79601 	62917 	63609 	66931 	71052 	74935 	77670 	79182 	80579 	55729 b
A,NR,TOTAL,F,D_GE4,A_C-N,EU15	479077 	462394 	467990 	463967 	395580 	434478 	420156 	408473 	427943 	429725 	432883 	: 	: 
A,NR,TOTAL,F,D_GE4,A_C-N,EU27_2007	527724 	499078 	507002 	498772 	431111 	467922 	454215 	444850 	467307 	469103 	470807 	: 	: 
A,NR,TOTAL,F,D_GE4,A_C-N,EU27_2020	: 	: 	478556 	471387 	403739 	438531 	424909 	416786 	440977 	443040 	444869 	449985 	351870 b
A,NR,TOTAL,F,D_GE4,A_C-N,EU28	: 	: 	508953 	501099 	433019 	469979 	456473 	447333 	469832 	471941 	473286 	: 	: 
A,NR,TOTAL,F,D_GE4,A_C-N,FI	6869 	5590 	5702 	5675 	5714 	6029 	4843 	273 	4488 	4591 	4535 	4718 	3316 b
A,NR,TOTAL,F,D_GE4,A_C-N,FR	101686 	94121 	95123 	97702 	62743 	90251 	98095 b	98883 	99079 	100773 b	106901 	110767 	82419 b
A,NR,TOTAL,F,D_GE4,A_C-N,HR	: 	: 	1951 	2326 	1908 	2057 	2258 	2483 	2525 	2838 	2479 	2413 	1764 b
A,NR,TOTAL,F,D_GE4,A_C-N,HU	4470 	3558 	4141 	3522 	4084 	3534 	3849 	4251 	5735 	5205 	4978 	5203 	4717 b
A,NR,TOTAL,F,D_GE4,A_C-N,IE	2270 	1724 	2333 	1983 	2678 	3368 	2228 	2079 	2402 	3216 	2406 	1703 	1307 b
A,NR,TOTAL,F,D_GE4,A_C-N,IS	: 	: 	: 	130 	203 	229 	0 	0 	0 	0 	0 	0 	145 b
A,NR,TOTAL,F,D_GE4,A_C-N,IT	56419 	60965 	58620 	53154 	46441 	46359 	44516 	32309 	35981 	36673 	35975 	34968 	30051 b
A,NR,TOTAL,F,D_GE4,A_C-N,LT	610 	376 	403 	508 	556 	625 	647 	723 	826 	890 	861 	1102 	854 b
A,NR,TOTAL,F,D_GE4,A_C-N,LU	872 	782 	787 	836 	862 	829 	852 	921 	864 	895 	969 	944 	665 b
A,NR,TOTAL,F,D_GE4,A_C-N,LV	261 	173 	196 	215 	263 	310 	317 	345 	357 	324 	409 	439 	371 b
A,NR,TOTAL,F,D_GE4,A_C-N,MT	218 	193 	191 	163 	169 	239 	189 	169 	148 	162 	209 	195 	105 b
A,NR,TOTAL,F,D_GE4,A_C-N,NL	26011 	23924 	27218 	33334 	23930 	24009 	10657 b	9835 	17371 	16288 	16061 	13976 	13972 b
A,NR,TOTAL,F,D_GE4,A_C-N,NO	0 	0 	0 	0 	0 	0 	894 b	952 	885 	852 	898 	940 	870 b
A,NR,TOTAL,F,D_GE4,A_C-N,PL	15713 	12781 	14344 	15151 	15494 	14322 	14283 	15744 	16159 	16442 	14786 	15437 	11880 b
A,NR,TOTAL,F,D_GE4,A_C-N,PT	29343 	22869 	21823 	22846 	23910 	24594 	22393 	22011 	23851 	25473 	24734 	23169 	15648 b
A,NR,TOTAL,F,D_GE4,A_C-N,RO	773 	591 	721 	467 	544 	569 	594 	702 	882 	963 	1034 	1112 	833 b
A,NR,TOTAL,F,D_GE4,A_C-N,SE	5183 	4594 	4957 	4975 	5478 	5168 	4065 	4139 	4332 	4468 	4574 	5231 	5142 b
A,NR,TOTAL,F,D_GE4,A_C-N,SI	2847 	2478 	2463 	2288 	2020 	1784 	1764 	1852 	1820 	2013 	2025 	2101 	1778 b
A,NR,TOTAL,F,D_GE4,A_C-N,SK	2413 	1891 	1835 	1741 	1811 	1772 	1722 	1857 	2141 	2144 	2179 	2069 	1613 b
A,NR,TOTAL,F,D_GE4,A_C-N,UK	32106 	31919 	30397 	29712 	29280 	31448 	31564 	30548 	28855 	28901 	28417 	: 	: 