Countries,2014,2015,2016,2017,2018,2019,2020
European Union - 27 countries (from 2020),2976126,2974943,3057868,3118816,3124828,3140950,2735566
European Union - 28 countries (2013-2020),3221074,3211706,3285032,3344474,3345812,:,:
European Union - 27 countries (2007-2013),3209405,3198561,3271769,3330310,3333765,:,:
Belgium,65587,63863,70674,70895,72059,68741,56477
Bulgaria,2246,2290,2188,2230,2255,2162,1820
Czechia,42306,42629,45282,45009,44241,42321,34963
Denmark,54157,50282,49439,48842,50185,50179,74471
Germany,847370,844541,862983,878525,877501,867533,766192
Estonia,6288,6296,6354,6279,6230,6180,5222
Ireland,18115,16681,14088,22125,18090,13252,12073
Greece,3410,3749,3987,4223,4493,5127,3964
Spain,387439,413750,432052,453437,465227,489643,388474
France,724662,731120,749670,753156,771837,778820,623654
Croatia,11669,13145,13263,14164,12047,10373,8566
Italy,313312,295162,295967,294161,291503,289283,323683
Cyprus,1613,1592,1900,2068,2147,2158,1511
Latvia,1725,1709,1810,1895,2168,2245,1994
Lithuania,3120,3287,3541,3977,3834,4666,3812
Luxembourg,7183,7359,7152,6684,7315,7270,5995
Hungary,19491,20846,27434,25470,23510,23802,24210
Malta,2632,2289,1818,1846,2001,2202,1549
Netherlands,87964,72829,81165,93305,91179,92838,76857
Austria,65418,61227,62902,63993,63229,60909,51031
Poland,76274,81880,84037,84388,77949,81302,62148
Portugal,130153,134378,135033,135488,130434,131717,108772
Romania,3396,3913,4188,4491,4623,4709,3956
Slovenia,12314,12448,12162,13288,13126,13065,16872
Slovakia,8552,9247,9814,10091,10145,9666,7857
Finland,44434,41825,41106,42025,41038,40103,29584
Sweden,35296,36362,37858,36761,36457,40684,39858
Iceland,1205,1298,1299,1307,1386,1321,1076
Norway,10108,10785,10150,10004,10525,9943,9653
Switzerland,87338,85450,85600,88047,91104,94823,87054
United Kingdom,244948,237008,227165,225658,220985,:,: